source,sentence_id,abs_sentence_no,abs_word_no,section_no,paragraph_no,sentence_no,word_no,word
Jupiter,Jupiter-0,0,0,0,0,0,0,Jupiter
Jupiter,Jupiter-0,0,1,0,0,0,1,is
Jupiter,Jupiter-0,0,2,0,0,0,2,the
Jupiter,Jupiter-0,0,3,0,0,0,3,fifth
Jupiter,Jupiter-0,0,4,0,0,0,4,planet
Jupiter,Jupiter-0,0,5,0,0,0,5,from
Jupiter,Jupiter-0,0,6,0,0,0,6,the
Jupiter,Jupiter-0,0,7,0,0,0,7,Sun
Jupiter,Jupiter-0,0,8,0,0,0,8,and
Jupiter,Jupiter-0,0,9,0,0,0,9,the
Jupiter,Jupiter-0,0,10,0,0,0,10,largest
Jupiter,Jupiter-0,0,11,0,0,0,11,in
Jupiter,Jupiter-0,0,12,0,0,0,12,the
Jupiter,Jupiter-0,0,13,0,0,0,13,Solar
Jupiter,Jupiter-0,0,14,0,0,0,14,System.
Jupiter,Jupiter-1,1,15,0,0,1,0,It
Jupiter,Jupiter-1,1,16,0,0,1,1,is
Jupiter,Jupiter-1,1,17,0,0,1,2,a
Jupiter,Jupiter-1,1,18,0,0,1,3,gas
Jupiter,Jupiter-1,1,19,0,0,1,4,giant
Jupiter,Jupiter-1,1,20,0,0,1,5,with
Jupiter,Jupiter-1,1,21,0,0,1,6,a
Jupiter,Jupiter-1,1,22,0,0,1,7,mass
Jupiter,Jupiter-1,1,23,0,0,1,8,more
Jupiter,Jupiter-1,1,24,0,0,1,9,than
Jupiter,Jupiter-1,1,25,0,0,1,10,two
Jupiter,Jupiter-1,1,26,0,0,1,11,and
Jupiter,Jupiter-1,1,27,0,0,1,12,a
Jupiter,Jupiter-1,1,28,0,0,1,13,half
Jupiter,Jupiter-1,1,29,0,0,1,14,times
Jupiter,Jupiter-1,1,30,0,0,1,15,that
Jupiter,Jupiter-1,1,31,0,0,1,16,of
Jupiter,Jupiter-1,1,32,0,0,1,17,all
Jupiter,Jupiter-1,1,33,0,0,1,18,the
Jupiter,Jupiter-1,1,34,0,0,1,19,other
Jupiter,Jupiter-1,1,35,0,0,1,20,planets
Jupiter,Jupiter-1,1,36,0,0,1,21,in
Jupiter,Jupiter-1,1,37,0,0,1,22,the
Jupiter,Jupiter-1,1,38,0,0,1,23,Solar
Jupiter,Jupiter-1,1,39,0,0,1,24,System
Jupiter,Jupiter-1,1,40,0,0,1,25,combined
Jupiter,Jupiter-1,1,41,0,0,1,26,","
Jupiter,Jupiter-1,1,42,0,0,1,27,and
Jupiter,Jupiter-1,1,43,0,0,1,28,slightly
Jupiter,Jupiter-1,1,44,0,0,1,29,less
Jupiter,Jupiter-1,1,45,0,0,1,30,than
Jupiter,Jupiter-1,1,46,0,0,1,31,one
Jupiter,Jupiter-1,1,47,0,0,1,32,one
Jupiter,Jupiter-1,1,48,0,0,1,33,-
Jupiter,Jupiter-1,1,49,0,0,1,34,thousandth
Jupiter,Jupiter-1,1,50,0,0,1,35,the
Jupiter,Jupiter-1,1,51,0,0,1,36,mass
Jupiter,Jupiter-1,1,52,0,0,1,37,of
Jupiter,Jupiter-1,1,53,0,0,1,38,the
Jupiter,Jupiter-1,1,54,0,0,1,39,Sun.
Jupiter,Jupiter-2,2,55,0,0,2,0,Jupiter
Jupiter,Jupiter-2,2,56,0,0,2,1,orbits
Jupiter,Jupiter-2,2,57,0,0,2,2,the
Jupiter,Jupiter-2,2,58,0,0,2,3,Sun
Jupiter,Jupiter-2,2,59,0,0,2,4,at
Jupiter,Jupiter-2,2,60,0,0,2,5,a
Jupiter,Jupiter-2,2,61,0,0,2,6,distance
Jupiter,Jupiter-2,2,62,0,0,2,7,of
Jupiter,Jupiter-2,2,63,0,0,2,8,5.20
Jupiter,Jupiter-2,2,64,0,0,2,9,AU
Jupiter,Jupiter-2,2,65,0,0,2,10, (
Jupiter,Jupiter-2,2,66,0,0,2,11,778.5
Jupiter,Jupiter-2,2,67,0,0,2,12,Gm
Jupiter,Jupiter-2,2,68,0,0,2,13,)
Jupiter,Jupiter-2,2,69,0,0,2,14,with
Jupiter,Jupiter-2,2,70,0,0,2,15,an
Jupiter,Jupiter-2,2,71,0,0,2,16,orbital
Jupiter,Jupiter-2,2,72,0,0,2,17,period
Jupiter,Jupiter-2,2,73,0,0,2,18,of
Jupiter,Jupiter-2,2,74,0,0,2,19,11.86
Jupiter,Jupiter-2,2,75,0,0,2,20,years.
Jupiter,Jupiter-3,3,76,0,0,3,0,Jupiter
Jupiter,Jupiter-3,3,77,0,0,3,1,is
Jupiter,Jupiter-3,3,78,0,0,3,2,the
Jupiter,Jupiter-3,3,79,0,0,3,3,third
Jupiter,Jupiter-3,3,80,0,0,3,4,brightest
Jupiter,Jupiter-3,3,81,0,0,3,5,natural
Jupiter,Jupiter-3,3,82,0,0,3,6,object
Jupiter,Jupiter-3,3,83,0,0,3,7,in
Jupiter,Jupiter-3,3,84,0,0,3,8,the
Jupiter,Jupiter-3,3,85,0,0,3,9,Earth's
Jupiter,Jupiter-3,3,86,0,0,3,10,night
Jupiter,Jupiter-3,3,87,0,0,3,11,sky
Jupiter,Jupiter-3,3,88,0,0,3,12,after
Jupiter,Jupiter-3,3,89,0,0,3,13,the
Jupiter,Jupiter-3,3,90,0,0,3,14,Moon
Jupiter,Jupiter-3,3,91,0,0,3,15,and
Jupiter,Jupiter-3,3,92,0,0,3,16,Venus
Jupiter,Jupiter-3,3,93,0,0,3,17,","
Jupiter,Jupiter-3,3,94,0,0,3,18,and
Jupiter,Jupiter-3,3,95,0,0,3,19,it
Jupiter,Jupiter-3,3,96,0,0,3,20,has
Jupiter,Jupiter-3,3,97,0,0,3,21,been
Jupiter,Jupiter-3,3,98,0,0,3,22,observed
Jupiter,Jupiter-3,3,99,0,0,3,23,since
Jupiter,Jupiter-3,3,100,0,0,3,24,prehistoric
Jupiter,Jupiter-3,3,101,0,0,3,25,times.
Jupiter,Jupiter-4,4,102,0,0,4,0,It
Jupiter,Jupiter-4,4,103,0,0,4,1,was
Jupiter,Jupiter-4,4,104,0,0,4,2,named
Jupiter,Jupiter-4,4,105,0,0,4,3,after
Jupiter,Jupiter-4,4,106,0,0,4,4,Jupiter
Jupiter,Jupiter-4,4,107,0,0,4,5,","
Jupiter,Jupiter-4,4,108,0,0,4,6,the
Jupiter,Jupiter-4,4,109,0,0,4,7,chief
Jupiter,Jupiter-4,4,110,0,0,4,8,deity
Jupiter,Jupiter-4,4,111,0,0,4,9,of
Jupiter,Jupiter-4,4,112,0,0,4,10,ancient
Jupiter,Jupiter-4,4,113,0,0,4,11,Roman
Jupiter,Jupiter-4,4,114,0,0,4,12,religion.
Jupiter,Jupiter-5,5,115,0,1,0,0,Jupiter
Jupiter,Jupiter-5,5,116,0,1,0,1,was
Jupiter,Jupiter-5,5,117,0,1,0,2,the
Jupiter,Jupiter-5,5,118,0,1,0,3,first
